"","Geneid","H02","H03","H05","Average"
"215","TAGLN",1796,1574,3392,2254
"216","ACSM3",1765,2032,1671,1822.66666666667
"217","NDUFA1",1764,905,979,1216
"218","COL6A1",1754,2103,5360,3072.33333333333
"219","MZB1",1748,1330,2211,1763
"220","RUNX2",1730,2241,1763,1911.33333333333
"221","EPHB4",1726,1720,2351,1932.33333333333
"222","CEBPG",1703,1948,1641,1764
"223","CSF1",1683,1848,3237,2256
"224","CD79A",1565,1089,1250,1301.33333333333
"225","DNAJC6",1546,2466,2767,2259.66666666667
"226","FCER1A",1546,961,701,1069.33333333333
"227","FOXC1",1527,1413,2034,1658
"228","SLAMF7",1460,1491,1331,1427.33333333333
"229","PTGER4",1460,1563,1758,1593.66666666667
"230","COX6C",1451,910,1364,1241.66666666667
"231","IRF7",1445,1075,1241,1253.66666666667
"232","ANGPTL4",1430,1160,1014,1201.33333333333
"233","RYK",1414,1711,1955,1693.33333333333
"234","KITLG",1414,1618,2194,1742
"235","ITGA9",1372,1924,1698,1664.66666666667
"236","VWF",1347,1290,2758,1798.33333333333
"237","ACKR1",1339,909,1719,1322.33333333333
"238","TCL1A",1318,949,1422,1229.66666666667
"239","NDUFA3",1313,904,1036,1084.33333333333
"240","BMPR2",1303,1551,1865,1573
"241","KDR",1301,1845,1288,1478
"242","RUBCNL",1292,1727,1656,1558.33333333333
"243","RGS5",1290,1066,4396,2250.66666666667
"244","SOCS2",1268,1187,2138,1531
"245","CD79B",1265,702,1053,1006.66666666667
"246","FCRL1",1241,3677,2552,2490
"247","CD8A",1233,1161,791,1061.66666666667
"248","PDGFRA",1225,1443,2000,1556
"249","LAMB1",1218,1808,6609,3211.66666666667
"250","HBA2",1200,398,1304,967.333333333333
"251","NDUFS4",1192,680,851,907.666666666667
"252","IL32",1165,903,902,990
"253","IRF4",1138,1561,1203,1300.66666666667
"254","COX6A1",1083,570,654,769
"255","ANGPTL2",1082,1049,1705,1278.66666666667
"256","ISG15",1081,527,610,739.333333333333
"257","RORA",1074,1793,1448,1438.33333333333
"258","BANK1",1033,1342,1638,1337.66666666667
"259","MEST",1026,1028,1598,1217.33333333333
"260","TCF7",1022,1153,647,940.666666666667
"261","TNFSF13",1015,950,965,976.666666666667
"262","CRHBP",1010,1084,687,927
"263","BCL2",1009,1495,1447,1317
"264","ANGPT1",1008,1409,3024,1813.66666666667
"265","CAMTA1",1006,754,857,872.333333333333
"266","PMP22",1000,686,1097,927.666666666667
"267","PDGFRB",985,1253,3122,1786.66666666667
"268","WIF1",953,938,749,880
"269","PPARG",947,739,1575,1087
"270","TESPA1",937,1143,1149,1076.33333333333
"271","GATA2",918,1132,1230,1093.33333333333
"272","NOTCH3",909,1070,2305,1428
"273","CD34",898,702,1458,1019.33333333333
"274","TPD52",890,782,958,876.666666666667
"275","CXCL8",885,797,151,611
"276","SDC1",884,711,1001,865.333333333333
"277","SELP",872,1018,2110,1333.33333333333
"278","IL33",867,740,962,856.333333333333
"279","IL5RA",864,824,406,698
"280","CCNE2",860,1648,1778,1428.66666666667
"281","GPR183",859,666,700,741.666666666667
"282","MS4A2",844,1193,1550,1195.66666666667
"283","E2F7",844,1835,1743,1474
"284","UQCR11",842,409,579,610
"285","ITGA1",838,1182,1788,1269.33333333333
"286","LAMA4",829,1158,2246,1411
"287","GZMK",823,566,578,655.666666666667
"288","CDH5",818,982,1769,1189.66666666667
"289","LEF1",814,1050,831,898.333333333333
"290","COL4A1",810,761,2339,1303.33333333333
"291","GP9",785,534,1136,818.333333333333
"292","CCL2",779,863,561,734.333333333333
"293","EBF1",763,761,1783,1102.33333333333
"294","ADA",758,683,836,759
"295","CISH",743,865,884,830.666666666667
"296","IL27RA",739,643,805,729
"297","ADRB2",737,713,644,698
"298","EBF3",709,1040,1333,1027.33333333333
"299","HDC",702,1200,1892,1264.66666666667
"300","CX3CR1",701,644,469,604.666666666667
"301","MGP",685,326,1654,888.333333333333
"302","FLT3",684,865,1784,1111
"303","CYGB",657,478,1078,737.666666666667
"304","CD69",655,1004,1009,889.333333333333
"305","DNTT",640,554,1513,902.333333333333
"306","MAML2",614,792,1044,816.666666666667
"307","ICAM1",586,551,695,610.666666666667
"308","JAG1",560,948,1364,957.333333333333
"309","CD3D",544,426,319,429.666666666667
"310","CCR7",540,417,406,454.333333333333
"311","NCAM2",540,530,914,661.333333333333
"312","NOTCH4",539,1090,1906,1178.33333333333
"313","PAX5",531,588,830,649.666666666667
